0.07;0.08;0.07;0.03;0.14;0.08;0.30;0.18;0.10;0.17;0.03
0.07;0.08;0.07;0.03;0.14;0.08;0.30;0.18;0.10;0.17;0.03
0.07;0.08;0.07;0.03;0.14;0.08;0.30;0.18;0.10;0.17;0.03
0.07;0.08;0.07;0.03;0.14;0.08;0.30;0.18;0.10;0.17;0.03
0.07;0.08;0.07;0.02;0.12;0.08;0.24;0.16;0.10;0.04;0.03
0.07;0.08;0.07;0.02;0.12;0.08;0.24;0.16;0.10;0.04;0.03
0.07;0.08;0.07;0.02;0.12;0.08;0.24;0.16;0.10;0.04;0.03
0.07;0.08;0.07;0.02;0.12;0.08;0.24;0.16;0.10;0.04;0.03
0.07;0.08;0.07;0.02;0.12;0.08;0.09;0.16;0.21;0.04;0.03
0.07;0.08;0.07;0.02;0.12;0.08;0.09;0.16;0.21;0.04;0.03
0.07;0.08;0.07;0.02;0.12;0.08;0.09;0.16;0.21;0.04;0.03
0.07;0.08;0.07;0.02;0.12;0.08;0.09;0.16;0.21;0.04;0.03
0.07;0.08;0.07;0.02;0.12;0.08;0.09;0.11;0.21;0.17;0.03
0.07;0.08;0.07;0.02;0.12;0.08;0.09;0.11;0.21;0.17;0.03
0.07;0.08;0.07;0.02;0.12;0.08;0.09;0.11;0.21;0.17;0.03
0.07;0.08;0.07;0.02;0.12;0.08;0.09;0.11;0.21;0.17;0.03
0.07;0.08;0.07;0.02;0.12;0.08;0.09;0.07;0.08;0.04;0.19
0.07;0.08;0.07;0.02;0.12;0.08;0.09;0.07;0.08;0.04;0.19
0.07;0.08;0.07;0.02;0.12;0.08;0.09;0.07;0.08;0.04;0.19
0.07;0.08;0.07;0.02;0.12;0.08;0.09;0.07;0.08;0.04;0.19
0.13;0.08;0.07;0.03;0.14;0.08;0.09;0.07;0.08;0.04;0.03
0.13;0.08;0.07;0.03;0.14;0.08;0.09;0.07;0.08;0.04;0.03
0.13;0.08;0.07;0.03;0.14;0.08;0.09;0.07;0.08;0.04;0.03
0.13;0.08;0.07;0.03;0.14;0.08;0.09;0.07;0.08;0.04;0.03
